Benchmark,Company,System,Result,HTTP Software ,# cores,# chips,# cores per chip,Processor,1st Cache,2nd Cache,Other Cache,Memory,# of NetCtrls,Net Controller,# of Nets,Net Type,Net Speed,Time-Wait,Disk Controller,Disk Subsystem,Scripting,HTTP Cache,Op. Sys.,HW Avail,SW Avail,HTTP Avail,License,Tested By,Test Date,Published,Updated 
SPECweb2005,Fujitsu,Fujitsu SPARC Enterprise T2000,16407,Sun Java[TM] System Web Server 6.1 SP5 (64 bit),8,1,8,Sun UltraSPARC T1,16KB(I) + 8KB(D) on chip,3 MB per chip,N/A,64 GB,5,2x Onboard Dual 1000 BaseT Ethernet,9,Gigabit Ethernet,1 Gb/s,60,onboard SAS controller,3x 73GB 10K RPM SAS,JSP,N/A,Solaris 10 11/06,Apr-07,Dec-06,Jan-06,19,Sun Microsystems Inc.,Dec-06,May-07,Oct-07
SPECweb2005,Fujitsu,Fujitsu SPARC Enterprise T5220,41847,Sun Java[TM] System Web Server 7.0 Update 3,8,1,8,Sun UltraSPARC T2,16KB(I) + 8KB(D) per core,4 MB per chip,N/A,64 GB (16 x 4GB),5,2 x Onboard Dual 1000 BaseT Ethernet,5,10 & 1 Gigabit Ethernet,10 Gb/s,60,Onboard SAS controller,2 x 146GB 10K RPM SAS (SESX3C11Z),JSP,N/A,Solaris 10 05/08,Jan-08,Jul-08,Jul-08,19,"Sun Microsystems, Inc.",Mar-08,May-08,Jul-08
SPECweb2005,Fujitsu,Fujitsu SPARC Enterprise T5220,37001,Sun Java[TM] System Web Server 7.0 Update 2,8,1,8,Sun UltraSPARC T2,16KB(I) + 8KB(D) per core,4 MB per chip,N/A,64 GB (16 x 4GB),5,2 x Onboard Dual 1000 BaseT Ethernet,5,10 & 1 Gigabit Ethernet,10 Gb/s,60,onboard SAS controller,2 x 146GB 10K RPM SAS (SESX3C11Z),JSP,N/A,Solaris 10 08/07,Nov-07,Jan-08,Dec-07,19,Sun Microsystems Inc.,Oct-07,Oct-07,Jan-08
SPECweb2005,"Sun Microsystems, Inc.",Sun Fire T1000,10466,Sun Java[TM] System Web Server 6.1 SP5 64-bit,8,1,8,Sun UltraSPARC T1,16KB(I) + 8KB(D) on chip,3 MB per chip,N/A,16 GB,2,onboard Broadcom,4,Gigabit Ethernet,1 Gb/s,60,onboard disk controller,1 x 80GB 10K RPM SATA,JSP,N/A,Solaris 10 6/06,Mar-06,Jun-06,Jan-06,6,Sun Microsystems Inc.,Apr-06,May-06,May-06
SPECweb2005,"Sun Microsystems, Inc.",Sun Fire T2000,16407,Sun Java[TM] System Web Server 6.1 SP5 (64 bit),8,1,8,Sun UltraSPARC T1,16KB(I) + 8KB(D) on chip,3 MB per chip,N/A,64 GB,5,2x Onboard Dual 1000 BaseT Ethernet,9,Gigabit Ethernet,1 Gb/s,60,onboard SAS controller,3x 73GB 10K RPM SAS,JSP,N/A,Solaris 10 11/06,Jan-07,Dec-06,Jan-06,6,Sun Microsystems Inc.,Dec-06,Jan-07,Jan-07
SPECweb2005,"Sun Microsystems, Inc.",Sun Fire T2000,14001,Sun Java[TM] System Web Server 6.1 SP5 64-bit,8,1,8,Sun UltraSPARC T1,16KB(I)+8KB(D) per core,3 MB per chip,N/A,32 GB,5,2x Onboard Dual 1000 BaseT Ethernet + 3x Sun PCI-E Dual GigE UTP Adapters,9,Gigabit Ethernet,1 Gb/s,60,Onboard SAS Controller,3x73GB 10K RPM SAS,JSP,N/A,Solaris 10 3/05 HW2,Nov-05,Nov-05,Jan-06,6,Sun Microsystems Inc.,Nov-05,Dec-05,Jan-06
SPECweb2005,"Sun Microsystems, Inc.",Sun Fire X4240,37630,"Rock Web Server v1.4.7 (x86_64), Rock JSP/Servlet Container v1.3.2 (x86_64)",8,2,4,AMD Opteron 2384,"64KB(I) + 64KB(D) on chip, per core",512KB I+D on chip per core,6 MB on chip,32 GB (16x2GB DDR-II 666 PC2 5300),4,2 x Onboard Dual 1000 BaseT Ethernet,4,10 & 1 Gigabit Ethernet,10 Gb/s,60,"SAS RAID HBA, Internal (SGXPCIESAS-R-INT-Z)",1 x 146GB 10K RPM SAS (SESX3C11Z),JSP,N/A,Red Hat Enterprise Linux 5.2 (2.6.18-91.el5),Dec-08,May-08,May-08,6,"Sun Microsystems, Inc.",Nov-08,Dec-08,Dec-08
SPECweb2005,"Sun Microsystems, Inc.",Sun Fire X4240,32288,"Rock Web Server v1.4.7 (x86_64), Rock JSP/Servlet Container v1.3.2 (x86_64)",8,2,4,AMD Opteron 2360SE,"64KB(I) + 64KB(D) on chip, per core",512KB I+D on chip per core,2 MB on chip,32 GB (16x2GB DDR-II 666 PC2 5300),4,2 x Onboard Dual 1000 BaseT Ethernet,4,10 & 1 Gigabit Ethernet,10 Gb/s,60,"SAS RAID HBA, Internal (SGXPCIESAS-R-INT-Z)",1 x 146GB 10K RPM SAS (SESX3C11Z),JSP,N/A,Red Hat Enterprise Linux 5.2 (2.6.18-91.el5),Jul-08,May-08,May-08,6,"Sun Microsystems, Inc.",Oct-08,Nov-08,Oct-08
SPECweb2005,"Sun Microsystems, Inc.",Sun Fire X4270,72528,"Rock Web Server v1.4.7 (x86_64), Rock JSP/Servlet Container v1.3.2 (x86_64)",8,2,4,Intel Xeon X5570,"32KB(I) + 32KB(D) on chip, per core",256KB I+D on chip per core,8 MB I+D L3 on chip per chip,"72 GB (18 x 4GB DDR3 1066MHz) Operating 800MHz, 3 DIMMs per channel",5,2 x Onboard Dual 1000 BaseT Ethernet,7,10 & 1 Gigabit Ethernet,10 Gb/s,60,SAS 8-port internal PCI-Express HBA (LSI card) (SG-PCI8SAS-I-Z),1 x 146GB 10K RPM SAS (RA-SS2CF-146G10K),JSP,N/A,Red Hat Enterprise Linux 5.3 (2.6.18-128.el5),May-09,Jan-09,May-08,6,"Sun Microsystems, Inc.",Mar-09,May-09,May-09
SPECweb2005,"Sun Microsystems, Inc.",Sun Fire X4440,48007,"Rock Web Server v1.4.7 (x86_64), Rock JSP/Servlet Container v1.3.2 (x86_64)",16,4,4,AMD Opteron Processor 8384,"64 KB(I) + 64 KB(D) on chip, per core",512 KB I+D on chip per core,6 MB on chip,64 GB (32 x 2 GB DDR-II 666 PC2 5300),4,2 x Onboard Dual 1000 BaseT Ethernet,6,10 & 1 Gigabit Ethernet,10 Gb/s,60,"SAS RAID HBA, Internal (SGXPCIESAS-R-INT-Z)",1 x 146 GB 10K RPM SAS (XRA-SS2CF-146G10K),JSP,N/A,Red Hat Enterprise Linux 5.2 (2.6.18-92.el5),Dec-08,May-08,May-08,6,"Sun Microsystems, Inc.",Feb-09,Mar-09,Feb-09
SPECweb2005,"Sun Microsystems, Inc.",Sun Fire X4450,39793,"Rock Web Server v1.4.7 (x86_64), Rock JSP/Servlet Container v1.3.2 (x86_64)",16,4,4,Intel Xeon X7350 Processor,"32KB(I) + 32KB(D) on chip, per core","8 MB I+D on chip per chip, 4 MB shared / 2 cores",N/A,64 GB (16 x 4GB PC2-5300 667 MHz ECC Fully Buffered DDR2 dimms),4,2 x Onboard Dual 1000 BaseT Ethernet,6,10 & 1 Gigabit Ethernet,10 Gb/s,60,"SAS RAID HBA, Internal (SGXPCIESAS-R-INT-Z)",1 x146GB 10K RPM SAS (XRA-SS2CF-146G10K),JSP,N/A,SuSE Linux Enterprise Server 10 SP2 (2.6.16.60-0.21-smp),Jan-08,May-08,May-08,6,"Sun Microsystems, Inc.",Nov-08,Dec-08,Nov-08
SPECweb2005,"Sun Microsystems, Inc.",Sun SPARC Enterprise T2000,16407,Sun Java[TM] System Web Server 6.1 SP5 (64 bit),8,1,8,Sun UltraSPARC T1,16KB(I) + 8KB(D) on chip,3 MB per chip,N/A,64 GB,5,2x Onboard Dual 1000 BaseT Ethernet,9,Gigabit Ethernet,1 Gb/s,60,onboard SAS controller,3x 73GB 10K RPM SAS,JSP,N/A,Solaris 10 11/06,Apr-07,Dec-06,Jan-06,6,Sun Microsystems Inc.,Dec-06,Apr-07,Mar-07
SPECweb2005,"Sun Microsystems, Inc.",Sun SPARC Enterprise T5220,41847,Sun Java[TM] System Web Server 7.0 Update 3,8,1,8,Sun UltraSPARC T2,16KB(I) + 8KB(D) per core,4 MB per chip,N/A,64 GB (16 x 4GB),5,2 x Onboard Dual 1000 BaseT Ethernet,5,10 & 1 Gigabit Ethernet,10 Gb/s,60,Onboard SAS controller,2 x 146GB 10K RPM SAS (SESX3C11Z),JSP,N/A,Solaris 10 05/08,Jan-08,Jul-08,Jul-08,6,"Sun Microsystems, Inc.",Mar-08,Apr-08,Jul-08
SPECweb2005,"Sun Microsystems, Inc.",Sun SPARC Enterprise T5220,37001,Sun Java[TM] System Web Server 7.0 Update 2,8,1,8,Sun UltraSPARC T2,16KB(I) + 8KB(D) per core,4 MB per chip,N/A,64 GB (16 x 4GB),5,2 x Onboard Dual 1000 BaseT Ethernet,5,10 & 1 Gigabit Ethernet,10 Gb/s,60,onboard SAS controller,2 x 146GB 10K RPM SAS (SESX3C11Z),JSP,N/A,Solaris 10 08/07,Nov-07,Jan-08,Dec-07,6,Sun Microsystems Inc.,Oct-07,Oct-07,Jan-08
SPECweb2005,"Sun Microsystems, Inc.",Sun SPARC Enterprise T5440,100209,Sun Java[TM] System Web Server 7.0 Update 5,32,4,8,Sun UltraSPARC T2 Plus,16KB(I)+8KB(D) on chip per core,4 MB on chip per chip,N/A,256 GB (64 x 4GB) ,12,2 x Onboard Dual 1000 BaseT Ethernet,11,10 & 1 Gigabit Ethernet,10 Gb/s,60,Onboard SAS controller,2 x 146GB 10K RPM SAS (SESX3C11Z),JSP,N/A,Solaris 10 10/09,Jul-09,Oct-09,Mar-09,6,"Sun Microsystems, Inc.",Oct-09,Nov-09,Oct-09